240,12,69,48,True
288,14,72,48,True
336,11,67,48,True
384,11,67,48,True
432,0,48,48,True
480,3,53,48,True
528,0,48,48,True
576,2,52,48,True
624,2,52,48,True
672,4,55,48,True
720,10,65,48,True
768,11,67,48,True
816,0,48,48,True
864,3,53,48,True
912,0,48,48,True
960,0,48,48,True
1008,2,52,48,True
1056,5,57,48,True
1104,2,52,48,True
1152,1,50,48,True
1200,1,50,48,True
1248,3,53,48,True
1296,0,48,48,True
1344,2,52,48,True
1392,2,52,48,True
1440,4,55,48,True
1488,1,50,48,True
1536,0,48,48,True
1584,2,52,48,True
1632,5,57,48,True
1680,6,59,48,True
1728,7,60,192,True
1920,11,67,48,True
1968,7,60,48,True
2016,11,67,48,True
2064,11,67,48,True
2112,14,72,48,True
2160,10,65,48,True
2208,14,72,48,True
2256,11,67,48,True
2304,12,69,48,True
2352,0,48,48,True
2400,3,53,48,True
2448,0,48,48,True
2496,0,48,48,True
2544,2,52,48,True
2592,5,57,48,True
2640,2,52,48,True
2688,11,67,48,True
2736,11,67,48,True
2784,11,67,48,True
2832,14,72,48,True
2880,14,72,48,True
2928,11,67,48,True
2976,11,67,48,True
3024,13,71,48,True
3072,12,69,48,True
3120,3,53,48,True
3168,5,57,48,True
3216,2,52,48,True
3264,0,48,48,True
3312,2,52,48,True
3360,7,60,48,True
3408,5,57,48,True
3456,9,64,48,True
3504,2,52,48,True
3552,5,57,144,True
3696,8,62,48,True
3744,9,64,48,True
3792,11,67,48,True
3840,12,69,48,True
3888,5,57,48,True
3936,3,53,144,True
4080,7,60,48,True
4128,7,60,48,True
4176,9,64,48,True
4224,9,64,48,True
4272,8,62,48,True
4320,4,55,144,True
4464,8,62,48,True
4512,11,67,48,True
4560,8,62,48,True
4608,9,64,48,True
4656,10,65,48,True
4704,9,64,96,True
4848,9,64,48,True
4896,11,67,48,True
4944,9,64,48,True
4992,11,67,48,True
5040,12,69,48,True
5088,5,57,144,True
5232,9,64,48,True
5280,11,67,48,True
5328,12,69,48,True
5376,9,64,48,True
5424,8,62,48,True
5472,1,50,48,True
5520,7,60,48,True
5568,5,57,48,True
5616,5,57,48,True
5664,6,59,48,True
5712,9,64,48,True
5760,7,60,48,True
5808,0,48,48,True
5856,3,53,48,True
5904,7,60,48,True
5952,6,59,48,True
6000,7,60,48,True
6048,6,59,48,True
6096,2,52,48,True
6144,4,55,48,True
6192,2,52,192,True
6384,5,57,48,True
6432,7,60,48,True
6480,5,57,48,True
6528,9,64,48,True
6576,2,52,48,True
6624,5,57,144,True
6768,8,62,48,True
6816,9,64,48,True
6864,11,67,48,True
6912,12,69,48,True
6960,5,57,48,True
7008,3,53,144,True
7152,7,60,48,True
7200,7,60,48,True
7248,9,64,48,True
7296,9,64,48,True
7344,8,62,48,True
7392,4,55,144,True
7536,8,62,48,True
7584,11,67,48,True
7632,8,62,48,True
7680,9,64,48,True
7728,10,65,48,True
7776,9,64,96,True
7920,9,64,48,True
7968,11,67,48,True
8016,9,64,48,True
8064,11,67,48,True
8112,12,69,48,True
8160,5,57,144,True
8304,9,64,48,True
8352,11,67,48,True
8400,12,69,48,True
8448,9,64,48,True
8496,8,62,48,True
8544,1,50,48,True
8592,7,60,48,True
8640,5,57,48,True
8688,5,57,48,True
8736,6,59,48,True
8784,9,64,48,True
8832,7,60,48,True
8880,0,48,48,True
8928,3,53,48,True
8976,7,60,48,True
9024,6,59,48,True
9072,7,60,48,True
9120,6,59,48,True
9168,2,52,48,True
9216,4,55,48,True
9264,2,52,192,True
9456,9,64,48,True
9504,9,64,48,True
9552,11,67,48,True
9600,12,69,48,True
9648,12,69,48,True
9696,11,67,48,True
9744,12,69,48,True
9792,8,62,48,True
9840,1,50,48,True
9888,4,55,48,True
