1899,12
2278,14
2658,11
3038,11
3418,0
3797,3
4177,0
4557,2
4937,2
5316,4
5696,10
6076,11
6456,0
6835,3
7215,0
7595,0
7975,2
8354,5
8734,2
9114,1
9494,1
9873,3
10253,0
10633,2
11013,2
11392,4
11772,1
12152,0
12532,2
12911,5
13291,6
13671,7
15190,11
15570,7
15949,11
16329,11
16709,14
17089,10
17468,14
17848,11
18228,12
18608,0
18987,3
19367,0
19747,0
20127,2
20506,5
20886,2
21266,11
21646,11
22025,11
22405,14
22785,14
23165,11
23544,11
23924,13
24304,12
24684,3
25063,5
25443,2
25823,0
26203,2
26582,7
26962,5
27342,9
27722,2
28101,5
29241,8
29620,9
30000,11
30380,12
30760,5
31139,3
32278,7
32658,7
33038,9
33418,9
33797,8
34177,4
35316,8
35696,11
36076,8
36456,9
36835,10
37215,9
38354,9
38734,11
39114,9
39494,11
39873,12
40253,5
41392,9
41772,11
42152,12
42532,9
42911,8
43291,1
43671,7
44051,5
44430,5
44810,6
45190,9
45570,7
45949,0
46329,3
46709,7
47089,6
47468,7
47848,6
48228,2
48608,4
48987,2
50506,5
50886,7
51266,5
51646,9
52025,2
52405,5
53544,8
53924,9
54304,11
54684,12
55063,5
55443,3
56582,7
56962,7
57342,9
57722,9
58101,8
58481,4
59620,8
60000,11
60380,8
60760,9
61139,10
61519,9
62658,9
63038,11
63418,9
63797,11
64177,12
64557,5
65696,9
66076,11
66456,12
66835,9
67215,8
67595,1
67975,7
68354,5
68734,5
69114,6
69494,9
69873,7
70253,0
70633,3
71013,7
71392,6
71772,7
72152,6
72532,2
72911,4
73291,2
74810,9
75190,9
75570,11
75949,12
76329,12
76709,11
77089,12
77468,8
77848,1
78228,4
78608,9
78987,11
79367,11
79747,9
80127,8
80506,9
80886,2
81266,5
81646,2
82025,5
82405,9
82785,5
83165,9
83544,8
83924,9
84304,4
84684,1
85063,0
85443,2
85823,5
86203,6
86582,7
86962,9
87342,9
87722,11
88101,12
88481,12
88861,11
89241,12
89620,8
90000,1
90380,4
90760,1
91139,11
91519,11
91899,9
92279,11
92658,5
93038,2
93418,5
93798,2
94177,5
94557,9
94937,5
95316,9
95696,8
96076,9
96456,11
96835,8
97215,5
97595,2
97975,5
98354,6
98734,7
99114,9
99494,12
99873,13
100253,14
100633,0
101013,9
101392,14
101772,13
102152,1
102532,8
102911,13
103291,12
103671,3
104051,0
104430,0
104810,0
105190,8
105570,9
105949,11
106329,14
106709,0
107089,3
107468,0
107848,2
108228,2
108608,4
108987,1
109367,0
109747,2
110127,5
110506,11
110886,12
111266,13
111646,14
112025,14
112405,11
112785,0
113165,3
113544,0
113924,2
114304,2
114684,4
115063,10
115443,11
115823,12
116203,14
116582,11
116962,12
117342,3
117722,5
118101,2
118481,1
118861,1
119241,3
119620,0
120000,2
120380,2
120760,4
121139,1
121519,0
121899,2
122279,5
122658,2
123038,0
123418,2
123798,5
124177,5
124557,9
124937,2
125317,5
126456,8
126835,9
127215,11
127595,12
127975,5
128354,3
129494,7
129873,7
130253,9
130633,9
131013,8
131392,4
132532,8
132911,11
133291,8
133671,9
134051,10
134430,9
135570,9
135949,11
136329,9
136709,11
137089,12
137468,5
138608,9
138987,11
139367,12
139747,9
140127,8
140506,1
140886,7
141266,5
141646,5
142025,6
142405,9
142785,7
143165,0
143544,3
143924,7
144304,6
144684,7
145063,6
145443,2
145823,4
146203,2
147722,9
148101,9
148481,11
148861,12
149241,12
149620,11
150000,12
150380,8
150760,1
151139,4
151519,9
151899,11
152279,11
152658,9
153038,8
153418,9
153798,2
154177,5
154557,2
154937,5
155317,9
155696,5
156076,9
156456,8
156836,9
157215,4
157595,1
157975,0
158354,2
158734,5
159114,6
159494,7
159873,9
160253,9
160633,11
161013,12
161392,12
161772,11
162152,12
162532,8
162911,1
163291,4
163671,1
164051,11
164430,11
164810,9
165190,11
165570,5
165949,2
166329,5
166709,2
167089,5
167468,9
167848,5
168228,9
168608,8
168987,9
169367,11
169747,8
170127,5
170506,2
170886,5
172025,9
172405,9
172785,11
173165,12
173544,12
173924,11
174304,12
174684,8
175063,1
175443,4
175823,9
176203,11
176582,11
176962,9
177342,8
177722,9
178101,2
178481,5
178861,2
179241,5
179620,9
180000,5
180380,9
180760,8
181139,9
181519,4
181899,1
182279,0
182658,2
183038,5
183418,6
183798,7
184177,9
184557,9
184937,11
185317,12
185696,12
186076,11
186456,12
186836,8
187215,1
187595,4
187975,1
188355,11
188734,11
189114,9
189494,11
189874,5
190253,2
190633,5
191013,2
191392,5
191772,9
192152,5
192532,9
192911,8
193291,9
193671,11
194051,8
194430,5
194810,2
195190,5
195570,2
195949,0
196329,9
196709,9
197089,11
197468,12
197848,12
198228,11
198608,12
198987,8
199367,1
199747,4
200127,1
200506,11
200886,11
201266,9
201646,11
202025,5
202405,2
202785,5
203165,2
203544,5
203924,9
204304,5
204684,9
205063,8
205443,1
205823,4
206582,0
207342,2
207722,5
208101,6
208481,8
208861,7
211139,5
